EnsemblID	GeneName	KO1_L	KO1_L_M	KO8_L	KO8_L_M	WT3_L	WT3_L_M	WT4_L	WT4_L_M	KO1_L_G	KO1_L_M_G	KO8_L_G	KO8_L_M_G	WT3_L_G	WT3_L_M_G	WT4_L_G	WT4_L_M_G
ENSMUSG00000000142.15	Axin2	931	537	483	268	227	109	386	186	1168	741	597	361	292	147	440	238
ENSMUSG00000000148.17	Brat1	658	299	537	264	219	116	486	262	810	437	661	377	323	193	626	390
ENSMUSG00000000149.10	Gna12	2267	358	1876	264	719	92	1457	215	4167	2003	2808	1070	1384	636	2702	1378
ENSMUSG00000000154.16	Slc22a18	39	3	35	10	26	8	92	25	138	81	121	82	171	113	295	205
ENSMUSG00000000157.16	Itgb2l	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0
ENSMUSG00000000159.16	Igsf5	6	1	5	2	9	0	1	0	1	1	2	2	0	0	0	0
ENSMUSG00000000167.14	Pih1d2	88	37	82	39	74	40	108	62	113	52	106	58	121	56	144	93
ENSMUSG00000000168.9	Dlat	3271	537	3178	435	1861	251	3038	526	4090	1256	3901	1089	2351	669	3737	1165
ENSMUSG00000000171.5	Sdhd	2891	363	3564	439	1923	240	3123	437	3303	712	3939	768	2173	454	3504	795
ENSMUSG00000000182.9	Fgf23	11	5	12	7	16	5	3	3	21	15	17	11	20	5	9	8
ENSMUSG00000000183.6	Fgf6	0	0	1	1	0	0	0	0	0	0	3	1	8	1	0	0
ENSMUSG00000000184.12	Ccnd2	806	130	1006	156	815	90	1646	308	864	177	1077	221	897	152	1815	459
ENSMUSG00000000194.13	Gpr107	2605	1001	2251	833	1635	593	2559	1155	5497	3413	4424	2783	3543	2239	5819	4099
ENSMUSG00000000197.8	Nalcn	88	25	102	19	61	10	107	37	772	473	866	548	1208	464	829	547
ENSMUSG00000000202.9	Btbd17	48	10	93	27	13	7	39	17	53	13	114	40	20	7	42	18
ENSMUSG00000000204.16	Slfn4	21	6	6	1	10	0	7	2	31	15	8	3	16	0	7	2
ENSMUSG00000000214.11	Th	13	2	58	12	2	0	22	4	39	23	121	62	21	1	59	32
ENSMUSG00000000215.11	Ins2	0	0	0	0	0	0	0	0	4	0	3	2	68	0	2	2
ENSMUSG00000000216.8	Scnn1g	2	0	2	1	10	0	0	0	5	2	9	7	20	0	0	0
ENSMUSG00000000223.13	Drp2	335	80	103	19	155	69	139	62	458	175	167	64	250	106	227	137
ENSMUSG00000000244.17	Tspan32	237	150	166	89	39	19	112	62	344	237	236	150	62	37	172	111
ENSMUSG00000000247.11	Lhx2	21	8	23	15	16	0	7	1	29	15	29	18	51	4	11	4
ENSMUSG00000000248.16	Clec2g	10	1	1	0	6	0	1	0	29	19	12	8	118	7	9	8
ENSMUSG00000000253.13	Gmpr	321	46	241	36	122	19	171	33	520	219	358	140	253	92	292	142
ENSMUSG00000000263.15	Glra1	1	1	5	5	0	0	0	0	24	10	23	9	131	2	10	8
ENSMUSG00000000266.11	Mid2	87	29	56	13	14	0	29	10	231	136	108	53	158	14	69	46
ENSMUSG00000000275.16	Trim25	7198	2034	5965	1561	6637	1531	6715	1854	8684	3276	6897	2384	7662	2381	7752	2781
ENSMUSG00000000276.11	Dgke	3351	2154	2079	1345	1838	1189	2039	1375	6079	4347	3605	2579	3564	2527	3931	2931
ENSMUSG00000000278.10	Scpep1	4877	635	4926	641	4026	560	4858	717	5990	1597	5677	1281	5000	1364	6152	1851
ENSMUSG00000000282.12	Mnt	1263	544	1234	513	1091	426	1475	652	1756	919	1552	760	1421	692	1863	961
ENSMUSG00000000290.13	Itgb2	15	3	27	3	3	0	21	4	20	7	43	16	60	1	24	6
ENSMUSG00000000295.13	Hddc2	743	106	966	147	591	89	789	133	875	211	1096	258	699	167	953	291
ENSMUSG00000000296.8	Tpd52l1	504	77	512	70	158	18	377	57	1411	838	1044	538	790	344	1093	702
ENSMUSG00000000301.16	Pemt	172	25	179	29	38	1	132	28	551	324	440	242	270	156	476	334
ENSMUSG00000000303.12	Cdh1	20976	2743	19043	2842	13784	1961	18531	3197	25956	7056	22351	5827	16590	4409	23319	7612
ENSMUSG00000000305.12	Cdh4	297	50	194	21	269	75	340	97	9262	5987	4969	3120	10221	6367	12876	8856
ENSMUSG00000000308.14	Ckmt1	549	67	438	63	511	52	524	78	587	102	456	79	532	64	547	100
ENSMUSG00000000317.11	Bcl6b	300	158	291	152	171	100	350	186	307	164	299	160	180	104	367	198
ENSMUSG00000000318.16	Clec10a	3	0	1	1	0	0	0	0	5	2	2	2	1	0	3	1
ENSMUSG00000000320.10	Alox12	64	15	47	6	78	15	93	27	74	24	53	10	100	22	107	37
ENSMUSG00000000325.16	Arvcf	1636	414	1496	382	843	187	1494	435	2160	858	1772	606	1054	339	1922	799
ENSMUSG00000000326.13	Comt	688	146	546	119	308	69	466	124	1145	503	752	293	526	266	777	377
ENSMUSG00000000339.14	Rtca	1885	271	1809	252	1075	123	1500	241	2712	1007	2379	781	1499	489	2137	839
ENSMUSG00000000340.10	Dbt	2127	347	2240	336	1722	244	1874	321	2796	897	2621	670	2211	650	2381	780
ENSMUSG00000000346.9	Dazap2	1008	307	1306	372	636	179	1122	332	1049	347	1357	417	683	213	1164	370
ENSMUSG00000000355.13	Mcts1	1498	295	1230	206	1422	183	1375	272	2438	927	1788	593	2048	540	2158	856
ENSMUSG00000000359.3	Rem1	1	0	9	7	5	5	5	1	5	2	16	14	5	5	14	9
ENSMUSG00000000365.9	Rnf17	5219	791	6066	733	6172	726	6565	1110	11713	6113	11120	4936	11649	5075	14878	8212
ENSMUSG00000000374.8	Trappc10	1388	550	1359	517	811	245	1444	561	2315	1301	2156	1180	1436	687	2418	1381
ENSMUSG00000000378.15	Ccm2	1409	240	1235	248	500	90	826	184	2669	1322	2056	969	1135	614	1970	1207
ENSMUSG00000000381.10	Wap	1	0	0	0	6	0	0	0	2	0	5	4	8	2	1	1
ENSMUSG00000000384.15	Tbrg4	6131	2045	5982	2002	3439	1142	5354	1999	7418	2988	7220	2934	4180	1691	6484	2872
ENSMUSG00000000385.8	Tmprss2	61	11	28	3	11	1	14	9	74	22	41	14	43	4	26	17
ENSMUSG00000000386.16	Mx1	7	0	1	1	16	0	1	0	15	2	4	4	26	0	3	0
ENSMUSG00000000392.17	Fap	1	0	0	0	9	1	0	0	8	2	5	0	99	2	1	0
ENSMUSG00000000394.15	Gcg	0	0	1	0	5	0	0	0	0	0	1	0	9	0	0	0
ENSMUSG00000000399.10	Ndufa9	2580	223	2900	218	1574	146	2588	231	3409	940	3499	730	2122	607	3451	996
ENSMUSG00000000402.2	Egfl6	1146	187	596	90	86	8	251	28	2332	923	1109	388	293	87	490	197
ENSMUSG00000000409.14	Lck	455	64	993	140	458	56	667	83	500	95	1025	163	535	85	714	119
ENSMUSG00000000411.7	Tssk3	2	0	0	0	0	0	2	2	2	0	1	0	0	0	2	2
ENSMUSG00000000416.16	Cttnbp2	252	103	102	39	66	25	102	41	603	408	215	140	291	105	262	190
ENSMUSG00000000420.15	Galnt1	4323	780	3917	654	2900	470	3185	605	7173	3282	5495	2058	4527	1847	5341	2585
ENSMUSG00000000435.1	Myf5	0	0	3	3	1	0	0	0	0	0	3	3	1	0	0	0
ENSMUSG00000000439.9	Mkrn2	1372	328	1262	285	734	179	1201	368	1654	553	1500	495	915	320	1435	589
ENSMUSG00000000440.12	Pparg	0	0	9	0	1	0	3	1	13	5	30	14	153	0	16	14
ENSMUSG00000000441.17	Raf1	6072	1800	6096	1488	4196	1121	5799	1883	9346	4726	8479	3690	6283	3013	9101	4957
ENSMUSG00000000486.13	Septin1	7773	1193	6223	916	1524	219	4714	788	8349	1612	6769	1344	2036	567	5453	1341
ENSMUSG00000000489.7	Pdgfb	367	156	181	97	44	26	141	91	536	292	315	213	78	54	223	157
ENSMUSG00000000530.16	Acvrl1	46	16	21	5	62	16	87	48	64	28	27	11	83	22	115	70
ENSMUSG00000000531.5	Grasp	653	259	662	264	810	363	876	378	781	368	741	339	934	461	1023	507
ENSMUSG00000000532.11	Acvr1b	1051	322	833	241	718	199	1025	295	2181	1249	1442	748	1669	1002	2222	1354
ENSMUSG00000000538.18	Tom1l2	572	226	347	132	178	98	339	161	2895	2162	1378	982	1340	913	1943	1522
ENSMUSG00000000544.14	Gpa33	3012	535	2048	448	628	114	1820	369	5314	2313	3370	1474	1086	454	3386	1690
ENSMUSG00000000552.10	Zfp385a	372	122	234	63	235	57	323	130	695	400	444	247	568	319	732	496
ENSMUSG00000000555.8	Itga5	2040	718	1320	501	1619	633	2246	1015	2977	1468	2000	1103	2481	1329	3328	1958
ENSMUSG00000000560.9	Gabra2	1	0	3	0	15	0	4	4	32	26	51	40	175	6	65	56
ENSMUSG00000000561.14	Wdr77	4739	1481	4802	1374	4364	1016	4733	1394	86	19	68	16	33	0	80	19
ENSMUSG00000000562.5	Adora3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000000563.17	Atp5pb	12179	838	13014	832	7811	481	10959	791	13077	1590	13602	1336	8406	980	11693	1443
ENSMUSG00000000567.5	Sox9	85	34	18	10	5	0	18	14	85	34	18	10	9	0	19	14
ENSMUSG00000000568.15	Hnrnpd	8149	1671	9160	1666	10403	1501	10234	1959	10990	4207	11266	3585	12103	3043	12885	4427
ENSMUSG00000000579.14	Dynlt1c	154	97	135	91	84	67	122	86	229	158	213	161	111	83	188	149
ENSMUSG00000000581.8	C1d	1384	183	1396	192	788	104	962	116	1600	373	1550	339	846	151	1098	250
ENSMUSG00000000594.7	Gm2a	1397	74	1130	97	723	33	1025	99	1460	132	1187	149	769	64	1078	142
ENSMUSG00000000600.15	Krit1	3239	1207	3003	992	2156	697	2745	1089	3648	1557	3275	1234	2394	898	3038	1348
ENSMUSG00000000605.9	Clcn4	926	202	818	188	411	79	556	163	987	245	862	219	443	98	596	194
ENSMUSG00000000606.18	Vmn2r88	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617.14	Grm6	24	10	36	18	13	6	36	17	31	15	44	24	25	10	51	28
ENSMUSG00000000627.15	Sema4f	70	15	33	9	63	5	49	14	113	54	46	21	99	27	81	44
ENSMUSG00000000628.10	Hk2	20236	4803	16158	3794	20454	4654	21146	5366	24134	8109	18438	5788	23647	7429	24914	8649
ENSMUSG00000000631.20	Myo18a	5740	1026	3299	490	3939	768	3940	964	7807	2711	4421	1450	5370	1949	5955	2690
ENSMUSG00000000632.13	Sez6	24	10	30	7	2	1	21	0	75	48	89	57	72	19	83	41
ENSMUSG00000000673.9	Haao	2	0	1	0	1	0	0	0	4	0	4	0	14	0	0	0
ENSMUSG00000000682.7	Cd52	5	1	6	0	2	0	4	0	13	7	6	0	6	0	9	5
ENSMUSG00000000686.11	Abhd15	9	5	4	2	4	0	5	1	34	19	9	3	25	12	15	4
ENSMUSG00000000690.5	Hoxb6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
ENSMUSG00000000693.10	Loxl3	75	13	45	11	25	9	58	25	110	38	69	29	56	16	81	43
ENSMUSG00000000701.8	Tcl1b5	0	0	0	0	0	0	0	0	1	0	1	0	7	0	0	0
ENSMUSG00000000706.16	Btn1a1	2	1	2	0	5	0	5	3	4	3	2	0	10	5	7	5
ENSMUSG00000000708.14	Kat2b	3186	723	3457	714	2710	459	4042	883	6156	3287	5193	2242	4906	2253	7785	4294
ENSMUSG00000000711.3	Rab5b	1979	485	1954	479	1365	293	1632	531	2503	945	2398	884	1848	717	2125	990
ENSMUSG00000000724.10	Cryba1	2	0	3	1	9	0	2	0	3	0	3	1	11	0	2	0
ENSMUSG00000000730.13	Dnmt3l	7533	654	11378	1059	9212	696	11865	1273	8179	1175	12185	1719	9935	1256	12852	2109
ENSMUSG00000000731.15	Aire	622	127	584	147	565	137	722	188	778	249	680	215	711	229	902	325
ENSMUSG00000000732.9	Icosl	411	227	742	355	497	205	989	572	595	366	962	525	647	295	1330	839
ENSMUSG00000000738.18	Spg7	1598	287	1827	318	1108	181	1524	348	0	0	0	0	0	0	0	0
ENSMUSG00000000739.14	Sult5a1	26	1	33	4	22	1	24	6	77	25	81	21	87	7	97	45
ENSMUSG00000000740.12	Rpl13	17423	1626	22190	2347	10621	1088	18404	2043	0	0	0	0	0	0	0	0
ENSMUSG00000000743.9	Chmp1a	2076	426	2417	433	1036	248	1765	361	2268	566	2584	567	1162	330	1946	503
ENSMUSG00000000751.13	Rpa1	13271	1481	13898	1201	8642	786	11555	1295	16329	4111	15710	2799	10333	2191	14098	3603
ENSMUSG00000000753.15	Serpinf1	81	12	110	12	8	1	58	7	92	22	117	19	14	1	60	8
ENSMUSG00000000759.14	Tubgcp3	3249	925	3383	910	2004	521	3111	934	4792	2300	4557	1983	2867	1236	4505	2222
ENSMUSG00000000766.18	Oprm1	2	0	0	0	8	0	6	5	34	20	28	15	333	16	32	22
ENSMUSG00000000776.13	Polr3d	3111	1116	3529	1438	2419	823	2914	1199	3200	1189	3605	1498	2443	843	2970	1250
ENSMUSG00000000782.16	Tcf7	1278	193	1029	158	654	65	1069	174	1942	729	1432	503	898	267	1598	637
ENSMUSG00000000787.12	Ddx3x	67998	15626	78375	15735	48865	10928	65179	16212	70316	17672	80253	17460	50210	12178	67326	18211
ENSMUSG00000000791.9	Il12rb1	11	11	10	3	3	0	17	10	13	13	13	6	7	0	18	11
ENSMUSG00000000792.2	Slc5a5	237	55	191	58	32	8	141	41	330	125	257	113	76	36	207	85
ENSMUSG00000000794.9	Kcnn3	27	8	19	7	7	1	5	0	77	49	46	28	132	23	36	27
ENSMUSG00000000804.14	Usp32	4078	986	3715	766	1975	365	3004	781	6719	3251	5267	2092	3366	1366	4883	2460
ENSMUSG00000000805.18	Car4	276	36	865	110	96	3	359	40	321	67	1009	231	120	19	411	90
ENSMUSG00000000811.13	Txnrd3	318	46	381	76	201	34	314	55	439	139	513	193	331	128	443	170
ENSMUSG00000000817.10	Fasl	4	4	3	2	5	5	11	11	19	15	8	7	33	24	18	18
ENSMUSG00000000823.16	Zfp512b	3375	1133	2971	1007	2262	744	3417	1352	2285	852	2015	767	1619	585	2396	1038
ENSMUSG00000000826.16	Dnajc5	3461	996	3548	924	1719	548	3093	1022	5166	2455	4644	1905	2656	1366	4543	2344
ENSMUSG00000000827.18	Tpd52l2	3549	777	4073	750	2847	554	4036	923	4516	1648	4917	1518	3464	1096	5031	1835
ENSMUSG00000000838.17	Fmr1	10019	1703	8957	1303	10378	1186	9586	1508	11246	2728	9702	1931	11164	1791	10507	2315
ENSMUSG00000000861.15	Bcl11a	62	50	163	140	106	78	181	142	244	180	420	368	359	224	698	617
ENSMUSG00000000869.12	Il4	0	0	0	0	0	0	0	0	4	4	5	2	3	1	0	0
ENSMUSG00000000876.11	Pxmp4	109	15	112	20	69	4	125	17	143	45	135	41	137	43	174	58
ENSMUSG00000000881.12	Dlg3	1615	404	1619	364	1279	318	1448	384	2229	903	1989	681	1685	601	2035	909
ENSMUSG00000000884.17	Gnb1l	330	72	283	69	147	29	275	61	1536	878	980	552	989	512	1428	912
ENSMUSG00000000889.8	Dbh	0	0	2	0	0	0	0	0	0	0	2	0	7	0	0	0
ENSMUSG00000000901.17	Mmp11	455	164	793	252	451	113	920	264	615	278	976	406	647	273	1125	440
ENSMUSG00000000902.13	Smarcb1	2595	434	3505	545	2103	373	3544	693	3409	1136	4277	1227	2846	1024	4544	1587
ENSMUSG00000000903.3	Vpreb3	7	3	4	0	13	5	10	1	24	20	35	23	106	77	108	81
ENSMUSG00000000915.15	Hip1r	1415	274	1495	293	816	155	1126	234	1799	582	1802	576	1033	339	1429	515
ENSMUSG00000000916.15	Nsun5	1271	415	1161	407	761	260	1316	468	1328	454	1209	448	805	299	1369	519
ENSMUSG00000000934.9	Top1mt	568	74	481	51	371	40	474	93	687	165	546	105	431	79	557	168
ENSMUSG00000000938.11	Hoxa10	8	2	1	0	5	0	1	1	9	2	1	0	16	0	1	1
ENSMUSG00000000942.10	Hoxa4	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000948.16	Gm38393	4031	952	5388	1066	4751	819	3659	773	4773	1305	6124	1310	5360	1012	4198	981
ENSMUSG00000000957.11	Mmp14	1183	173	1026	196	615	147	1202	340	1729	270	1533	288	991	242	1724	518
ENSMUSG00000000958.10	Slc7a7	1886	605	2818	843	1355	464	3194	1236	4661	2948	5695	3352	4647	3225	9376	6823
ENSMUSG00000000959.7	Oxa1l	1893	506	1712	458	1312	310	2028	635	2163	736	1930	650	1491	468	2273	860
ENSMUSG00000000976.13	Heatr6	1744	460	1717	472	813	246	1561	510	2716	1305	2484	1146	1299	624	2352	1220
ENSMUSG00000000982.5	Ccl3	0	0	2	2	0	0	0	0	0	0	2	2	0	0	0	0
ENSMUSG00000000983.13	Wfdc18	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001014.6	Icam4	14	0	22	10	13	1	14	2	14	0	22	10	13	1	14	2
ENSMUSG00000001016.12	Ilf2	11907	2065	13192	2184	11931	1662	12079	2150	12093	2252	13354	2338	12038	1762	12227	2303
ENSMUSG00000001017.15	Chtop	5157	1439	5612	1391	3007	785	4628	1305	6418	2580	6693	2364	3757	1469	5575	2205
ENSMUSG00000001018.15	Snapin	1405	284	1293	289	620	147	1062	234	1438	314	1322	317	634	160	1076	248
ENSMUSG00000001020.8	S100a4	23	1	7	0	1	0	1	0	18	1	6	0	1	0	1	0
ENSMUSG00000001021.13	S100a3	26	9	19	6	1	0	12	0	24	14	11	4	10	0	7	3
ENSMUSG00000001023.10	S100a5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000001025.8	S100a6	5997	448	3070	312	914	74	1811	205	6115	536	3148	383	953	100	1867	254
ENSMUSG00000001027.7	Scn4a	5	0	5	3	8	2	2	1	6	1	6	3	22	4	4	2
ENSMUSG00000001029.15	Icam2	15	8	8	7	4	3	4	2	23	9	13	12	25	4	6	3
ENSMUSG00000001034.17	Mapk7	1938	644	1731	650	903	265	1436	513	2006	701	1772	687	911	266	1465	537
ENSMUSG00000001036.17	Epn2	3540	1420	3570	1348	1730	689	3057	1423	8099	5294	6564	3931	3804	2468	6577	4537
ENSMUSG00000001039.12	B9d1	651	126	678	78	316	58	589	132	919	346	951	317	488	197	795	318
ENSMUSG00000001052.15	Sec24b	3235	1018	1913	603	1844	407	2581	887	8071	5092	4387	2748	3946	2164	6269	4205
ENSMUSG00000001053.15	N4bp3	2722	1016	3792	1597	1878	726	2717	1241	3145	1352	4284	2016	2066	887	3145	1607
ENSMUSG00000001054.9	Rmnd5b	1828	469	1976	484	1606	382	2132	537	2539	1070	2742	1150	2323	980	2951	1221
ENSMUSG00000001056.3	Nhp2	12813	1362	16655	1833	8398	892	11690	1401	13539	1980	17364	2466	8804	1240	12249	1918
ENSMUSG00000001062.18	Vps9d1	307	167	361	196	140	81	362	207	415	252	440	255	219	143	454	287
ENSMUSG00000001065.15	Zfp276	599	300	551	286	301	171	543	293	0	0	0	0	0	0	0	0
ENSMUSG00000001076.7	C1ql4	3	0	10	6	5	0	6	3	3	0	11	7	5	0	7	4
ENSMUSG00000001082.12	Mfsd10	1742	503	1531	433	727	168	1524	486	1763	517	1558	446	736	175	1541	499
ENSMUSG00000001089.14	Luzp1	9729	3620	7630	2913	9154	3094	9783	3881	14146	7412	9790	4807	12708	6045	14732	8271
ENSMUSG00000001095.5	Slc13a2	50	29	15	9	15	5	22	18	120	83	46	37	68	42	98	88
ENSMUSG00000001098.15	Kctd10	1977	571	1930	473	687	200	1275	392	2199	766	2098	612	776	270	1442	542
ENSMUSG00000001100.10	Poldip2	6213	1216	5613	1056	3698	622	4870	985	6866	1732	6113	1494	4137	1001	5321	1359
ENSMUSG00000001103.7	Sebox	5	0	2	0	5	2	4	0	5	0	2	0	5	2	4	0
ENSMUSG00000001105.15	Ift20	1398	232	1126	190	613	115	816	170	1527	338	1211	268	654	150	911	262
ENSMUSG00000001119.7	Col6a1	97	13	68	5	4	0	10	0	99	15	74	10	4	0	14	4
ENSMUSG00000001120.15	Pcbp3	384	70	520	90	379	25	457	81	2233	1610	1815	1208	1684	907	2404	1766
ENSMUSG00000001123.15	Lgals9	370	46	850	78	156	3	524	62	556	204	1076	274	285	103	670	186
ENSMUSG00000001127.12	Araf	3553	1168	2580	819	2253	690	3271	1189	5240	2428	3810	1786	3764	1801	5187	2705
ENSMUSG00000001128.7	Cfp	361	113	282	70	170	64	261	98	514	221	378	149	255	129	414	215
ENSMUSG00000001131.11	Timp1	2047	171	1608	166	1577	143	1745	221	2188	276	1701	246	1645	195	1843	297
ENSMUSG00000001134.9	Uxt	1052	184	974	159	596	132	1082	192	1628	643	1349	451	960	407	1637	653
ENSMUSG00000001138.13	Cnnm3	617	280	700	285	522	204	843	399	896	504	923	470	816	432	1228	755
ENSMUSG00000001143.13	Lman2l	624	299	498	198	366	170	575	276	1385	852	1011	607	976	635	1452	996
ENSMUSG00000001150.7	Mcm3ap	8922	1495	7113	1222	5087	822	7237	1389	10407	2790	8159	2160	5834	1484	8365	2432
ENSMUSG00000001151.10	Pcnt	12693	2864	13536	3033	13167	2980	15405	4013	15449	5131	15685	4859	15260	4661	18490	6768
ENSMUSG00000001155.13	Ftcd	6	2	2	0	3	1	5	1	8	4	3	1	6	1	7	3
ENSMUSG00000001156.9	Mxd1	243	121	190	106	133	78	182	107	331	183	253	156	171	111	256	170
ENSMUSG00000001157.13	Gmcl1	1314	400	992	302	939	324	957	342	2227	1201	1468	738	1451	760	1740	1063
ENSMUSG00000001158.13	Snrnp27	1971	203	2043	226	1293	130	1573	191	2093	308	2158	329	1404	202	1674	277
ENSMUSG00000001166.17	Oas1c	134	31	97	22	105	36	83	6	182	62	124	47	129	51	115	37
ENSMUSG00000001168.16	Oas1h	0	0	0	0	3	0	0	0	0	0	0	0	17	0	1	1
ENSMUSG00000001173.15	Ocrl	3758	802	1991	281	2343	385	3029	656	5440	2161	2678	875	3364	1119	4482	1887
ENSMUSG00000001175.16	Calm1	8199	967	9956	1179	4249	459	7111	909	8500	1230	10181	1381	4383	579	7308	1095
ENSMUSG00000001211.15	Agpat3	1699	235	1358	181	1104	143	1471	228	2695	1028	1979	729	1697	628	2498	1109
ENSMUSG00000001225.12	Slc26a3	1	0	3	0	14	0	0	0	18	0	8	0	107	0	9	3
ENSMUSG00000001227.12	Sema6b	73	9	109	20	64	22	70	15	83	16	121	29	80	26	82	25
ENSMUSG00000001228.14	Uhrf1	25926	3474	28447	3256	22533	2692	27465	3552	27238	4579	29457	4151	23318	3383	28696	4668
ENSMUSG00000001229.9	Dpp9	2243	522	1910	442	1358	340	2356	642	2716	884	2324	768	1667	552	2895	1074
ENSMUSG00000001240.13	Ramp2	73	20	48	7	63	11	109	29	83	24	52	7	78	20	131	40
ENSMUSG00000001247.16	Lsr	2075	240	2196	343	809	94	1483	234	2822	854	2809	875	1138	365	2032	716
ENSMUSG00000001248.15	Gramd1a	2073	892	2296	1063	1066	389	1794	891	2982	1595	3277	1852	1621	808	2751	1700
ENSMUSG00000001249.14	Hpn	167	17	188	40	80	9	144	29	236	71	260	97	114	38	194	67
ENSMUSG00000001260.10	Gabrg1	4	0	4	1	0	0	0	0	10	4	14	3	162	8	11	10
ENSMUSG00000001270.9	Ckb	8942	1038	10188	1323	3456	401	7040	1028	8942	1038	10188	1323	3456	401	7040	1028
ENSMUSG00000001280.13	Sp1	17974	4830	15579	4588	14653	3475	19272	5835	18873	5585	16254	5180	15364	4041	20346	6786
ENSMUSG00000001281.10	Itgb7	498	74	682	126	1154	171	1301	249	587	132	819	238	1450	399	1660	520
ENSMUSG00000001285.12	Myg1	1530	262	1596	313	971	179	1553	393	1703	422	1736	446	1090	284	1747	567
ENSMUSG00000001288.15	Rarg	3852	1297	3824	1298	5700	1742	6848	2549	4996	2161	4821	2090	7614	3203	8855	4207
ENSMUSG00000001289.12	Pfdn5	4518	231	5027	276	3296	152	3649	268	4775	414	5295	501	3479	301	3927	506
ENSMUSG00000001300.16	Efnb2	1128	551	1336	730	429	206	1002	583	1753	1120	1928	1271	729	456	1617	1159
ENSMUSG00000001305.5	Rrp15	5674	1013	7320	1313	5477	917	5494	1162	7368	2446	8611	2481	6369	1705	7138	2679
ENSMUSG00000001313.12	Rnd2	682	81	851	107	318	35	493	80	720	108	891	133	349	50	542	119
ENSMUSG00000001323.17	Srr	126	35	97	33	30	16	82	37	852	626	614	473	435	342	635	523
ENSMUSG00000001333.9	Sync	102	31	86	26	30	10	50	27	157	80	136	71	74	28	109	69
ENSMUSG00000001334.9	Fndc5	64	7	45	4	24	3	53	10	64	7	49	8	29	3	56	10
ENSMUSG00000001348.15	Acp5	126	7	133	11	49	10	91	22	136	13	162	32	61	18	107	35
ENSMUSG00000001349.5	Cnn1	687	55	598	59	13	1	277	23	710	69	608	66	18	3	284	30
ENSMUSG00000001366.14	Fbxo9	550	139	630	168	371	98	491	152	803	357	815	323	518	201	707	330
ENSMUSG00000001376.17	Vps50	3818	1025	3560	700	3004	805	3527	997	7612	4330	5629	2580	5441	2816	6868	4069
